name,smiles,name_id,count
(S)-3-Hydroxydecanoyl-CoA,CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3hdcoa_c,60
Acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,aacoa_c,54
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN,2agpe160_c,30
Aminoacetone,CC(=O)C[NH3+],aact_c,5
Acetate,CC(=O)O,ac_c,4
(S)-3-Hydroxydodecanoyl-CoA,CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3hddcoa_c,62
(S)-3-Hydroxyhexanoyl-CoA,CCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3hhcoa_c,56
(S)-3-Hydroxyhexadecanoyl-CoA,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,3hhdcoa_c,66
Acetyl-ACP,*SC(C)=O,acACP_c,4
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+],2agpe180_c,32
Acetoacetate,C=C(O)CC(=O)O,acac_c,7
(S)-3-Hydroxyoctanoyl-CoA,CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3hocoa_c,58
Acetaldehyde,CC=O,acald_c,3
N-Acetylanthranilate,CC(=O)Nc1ccccc1C(=O)[O-],acanth_c,13
Acetyl-CoA,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],accoa_c,51
(S)-3-Hydroxyoctadecanoyl-CoA,CCCCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3hodcoa_c,68
Acetol cytosol,CC(=O)CO,acetol_c,5
N-Acetyl-L-glutamyl 5-phosphate,CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O,acg5p_c,17
N-Acetyl-L-glutamate 5-semialdehyde,CC(=O)N[C@@H](CCC=O)C(=O)O,acg5sa_c,12
3-Hydroxypropanoate,O=C(O)CCO,3hpp_c,6
3-(3-hydroxy-phenyl)propionate,O=C([O-])CCc1cccc(O)c1,3hpppn_c,12
N-Acetyl-D-glucosamine,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,acgam_c,15
N-Acetyl-D-glucosamine 1-phosphate,CC(=O)N[C@H]1C(OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O,acgam1p_c,19
(S)-3-Hydroxytetradecanoyl-CoA,CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],3htdcoa_c,64
C'-(3-Indolyl)-glycerol 3-phosphate,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12,3ig3p_c,19
N-Acetyl-D-glucosamine 6-phosphate,CC(=O)N[C@H]1C(O)O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,acgam6p_c,19
(S)-2-Aceto-2-hydroxybutanoate,CC[C@](O)(C(C)=O)C(=O)O,2ahbut_c,10
6-Acetyl-D-glucose,CC(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,acglc__D_c,15
3-Methyl-2-oxobutanoate,CC(C)C(=O)C(=O)[O-],3mob_c,8
