name,smiles,name_id,count
S-Adenosyl-L-homocysteine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,ahcys_c,26
L-Glutamine,NC(=O)CCC([NH3+])C(=O)O,gln__L_c,10
Citrate,O=C(O)CC(O)(CC(=O)O)C(=O)[O-],cit_c,13
Isocitrate,O=C([O-])CC(C(=O)[O-])C(O)C(=O)[O-],icit_c,13
Ammonium,N,nh4_c,1
Cobalt-precorrin 4,CC1OC(=O)C[C@@]2(C)[C@H](CCC(=O)O)C3=CC4=[N+]5C(=Cc6c(CC(=O)O)c(CCC(=O)O)c7n6[Co-2]56N3C12C1=C(CC(=O)O)[C@@](C)(CCC(=O)O)C(=[N+]16)C7)[C@@H](CCC(=O)O)[C@]4(C)CC(=O)O,copre4_c,65
Hypoxanthine,O=c1[nH]cnc2nc[nH]c12,hxan_c,10
"(3S)-3,6-Diaminohexanoate",[NH3+]CCC[C@H]([NH3+])CC(=O)[O-],36dahx_c,10
Adenine,Nc1ncnc2[nH]cnc12,ade_c,10
Inorganic triphosphate,O=P([O-])(O)OP(=O)([O-])OP(=O)([O-])O,pppi_c,13
IDP C10H11N4O11P2,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,idp_c,27
ITP C10H11N4O14P3,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,itp_c,31
Cobalt-precorrin 8,CC1=C2[C@@H](CCC(=O)O)[C@](C)(CC(=O)O)[C@]3(C)[C@H]4[C@H](CC(=O)O)[C@@](C)(CCC(=O)O)C5=[N+]4[Co-3]4(N23)[N+]2=C1[C@@](C)(CC(=O)O)C(CCC(=O)O)=C2C[C@@]1(C)C(C)=C(CCC(=O)O)C(=[N+]14)C5C,copre8_c,64
DAMP C10H12N5O6P,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,damp_c,22
Sulfur,[S],s_c,1
Cobalt-dihydro-precorrin 6,C[C@]1(CC(=O)[O-])C(CCC(=O)[O-])=C2C[C@@]3(C)C(CC(=O)[O-])=C(CCC(=O)[O-])C4=[N+]3[Co-2]35N6C(=CC1=[N+]23)[C@@H](CCC(=O)[O-])[C@](C)(CC(=O)[O-])[C@]6(C)[C@H]1[C@H](CC(=O)[O-])[C@@](C)(CCC(=O)[O-])C(=[N+]15)C4,codhpre6_c,65
DATP C10H12N5O12P3,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1,datp_c,30
Cobyrinate,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4\N([Co+])[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C1[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])[C@@H](CCC(=O)[O-])C3(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-],cobya_c,64
DADP C10H12N5O9P2,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O1,dadp_c,26
Uracil,O=c1cc[nH]c(=O)[nH]1,ura_c,8
CAMP C10H11N5O6P,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)(O)O[C@H]2[C@H]1O,camp_c,22
Dethiobiotin,C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)O,dtbt_c,15
Calcium,[Ca+2],ca2_c,1
Adenosine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,adn_c,19
Cytosine,Nc1cc[nH]c(=O)n1,csn_c,8
1-Aminopropan-2-ol,C[C@@H](O)C[NH3+],appl_c,5
UTP C9H11N2O15P3,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,utp_c,29
GMP C10H12N5O8P,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,gmp_c,24
Hydrogen peroxide,[O-]O,h2o2_c,2
"Cob(I)yrinate a,c diamide",CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(N)=O)[Co-3]753)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O,co1dam_c,64
O2 O2,O=O,o2_c,2
O-Acetyl-L-serine,CC(=O)OC[C@H]([NH3+])C(=O)[O-],acser_c,10
5-Phospho-alpha-D-ribose 1-diphosphate,O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O,prpp_c,22
Fumarate,O=C([O-])C=CC(=O)[O-],fum_c,8
"N6-(1,2-Dicarboxyethyl)-AMP",O=C([O-])CC(Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O)C(=O)[O-],dcamp_c,31
Cob(I)alamin,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-4]753[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,cbl1_e,91
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate,Nc1c(C(=O)N[C@@H](CC(=O)O)C(=O)O)ncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,25aics_c,30
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1N,aicar_c,22
Cadmium,[Cd+2],cd2_c,1
L-Aspartate,N[C@@H](CC(=O)O)C(=O)O,asp__L_c,9
CDP C9H12N3O11P2,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1,cdp_c,25
IMP C10H11N4O8P,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,imp_c,23
Glycerol 1-phosphate,O=P(O)(O)OCC(O)CO,glyc1p_c,10
DCMP C9H12N3O7P,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,dcmp_c,20
CMP C9H12N3O8P,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1,cmp_c,21
UDP C9H11N2O12P2,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,udp_c,25
DCDP C9H12N3O10P2,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1,dcdp_c,24
Copper,[Cu+2],cu2_c,1
UDP-N-acetyl-D-glucosamine,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,uacgam_c,39
CTP C9H12N3O14P3,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1,ctp_c,29
"Meso-2,6-Diaminoheptanedioate",N[C@@H](CCC[C@@H](N)C(=O)[O-])C(=O)[O-],26dap__M_c,13
Urea CH4N2O,NC(N)=O,urea_c,4
L-Lysine,[NH3+]CCCCC([NH3+])C(=O)[O-],lys__L_c,10
Agmatine,N=C(N)NCCCCN,agm_c,9
Putrescine,NCCCCN,ptrc_c,6
"2,3,4,5-Tetrahydrodipicolinate",O=C([O-])C1=NC(C(=O)[O-])CCC1,thdp_c,12
Nicotinamide adenine dinucleotide phosphate,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,nadp_c,48
D-Ribulose 5-phosphate,O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O,ru5p__D_c,14
Nicotinamide adenine dinucleotide phosphate - reduced,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,nadph_c,48
Myo-Inositol,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,inost_c,12
"3,4-dihydroxy-2-butanone 4-phosphate",CC(=O)C(O)COP(=O)(O)O,db4p_c,11
"Cyclic 2,3-bisphospho-D-glycerate",O=C(O)[C@H]1COP(=O)(O)OP(=O)(O)O1,cdpg_c,14
L-Homocysteine,[NH3+][C@@H](CCS)C(=O)[O-],hcys__L_c,8
(S)-2-Hydroxyglutarate,O=C(O)CC[C@H](O)C(=O)O,S2hglut_c,10
DUMP C9H11N2O8P,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1,dump_c,20
4-Amino-5-hydroxymethyl-2-methylpyrimidine,Cc1ncc(CO)c(N)n1,4ahmmp_c,10
Coenzyme F390 (adenosine),C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)cc21)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,f390a_c,75
Coenzyme ferredoxin 420-2 (oxidized),C[C@H](OP(=O)([O-])OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-],f420_2_c,53
DUTP C9H11N2O14P3,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,dutp_c,28
Coenzyme F390 (guanosine),C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)cc21)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O,f390g_c,76
5-amino-1-(5-phospho-D-ribosyl)imidazole,Nc1cncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,air_c,19
DCTP C9H12N3O13P3,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,dctp_c,28
Glycolaldehyde,O=CCO,gcald_c,4
(-)threo-iso(homo)2citrate,O=C(O)CCC[C@H](C(=O)O)[C@@H](O)C(=O)O,tih2cit_c,15
Cis-(homo)2aconitate,O=C([O-])/C=C(/CCCC(=O)[O-])C(=O)[O-],h2acon_C_c,14
Cis-(homo)3aconitate,O=C(O)/C=C(/CCCCC(=O)O)C(=O)O,h3acon_C_c,15
O Acetyl L homoserine C6H11NO4,CC(=O)OCC[C@H](N)C(=O)O,achms_c,11
Geranylgeranyl diphosphate C20H33O7P2,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCOP(=O)([O-])OP(=O)([O-])[O-],ggdp_c,29
Hydrogen sulfide,[SH3+],h2s_c,1
N-(6-Aminohexanoyl)-6-aminohexanoate,[NH3+]CCCCCC(=O)NCCCCCC(=O)[O-],6ax6ax_c,17
Methanethiol CH4S,CS,ch4s_e,2
6-Aminohexanoate,[NH3+]CCCCCC(=O)[O-],6ax_c,9
5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=O,fprica_c,24
Methane,[CH2-2],ch4_e,1
"5,6,7,8-Tetrahydrofolate",Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2,thf_c,32
Cis-homoaconitate,O=C([O-])/C=C(/CCC(=O)[O-])C(=O)[O-],hacon_C_c,13
10-Formyltetrahydrofolate,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,10fthf_c,34
Bicarbonate,O=C([O-])[O-],hco3_c,4
"(R)-2,3-Dihydroxy-3-methylbutanoate",CC(C)(O)[C@@H](O)C(=O)[O-],23dhmb_c,9
5-phosphoribosyl-5-carboxyaminoimidazole,O=C(O)Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,5caiz_c,22
Prephenate,O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1,pphn_c,16
3-Methyl-2-oxobutanoate,CC(C)C(=O)C(=O)[O-],3mob_c,8
5-O-(1-Carboxyvinyl)-3-phosphoshikimate,C=C(O[C@@H]1CC(C(=O)[O-])=C[C@@H](OP(=O)([O-])[O-])[C@H]1O)C(=O)[O-],3psme_c,21
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,Nc1c(C(=O)[O-])[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,5aizc_c,22
"(R)-2,3-Dihydroxy-3-methylpentanoate",CC[C@@](C)(O)[C@@H](O)C(=O)[O-],23dhmp_c,10
(R)-(homo)2citrate,O=C(O)CCC[C@@](O)(CC(=O)O)C(=O)O,Rh2cit_c,15
(S)-3-Methyl-2-oxopentanoate,CC[C@H](C)C(=O)C(=O)[O-],3mop_c,9
"2,3-Dihydrodipicolinate",O=C(O)C1=N[C@H](C(=O)O)CC=C1,23dhdp_c,12
"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate",Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2,ahdt_c,30
"5-Oxo-4,5-dihydrofuran-2-acetate",O=C(O)CC1=CCC(=O)O1,5odhf2a_c,10
"7,8-Dihydrofolate",Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,dhf_c,32
Dihydroneopterin,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)CO)CN2,dhnpt_c,18
Dihydropteroate,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)[O-])cc1)CN2,dhpt_c,23
4-Carboxymuconolactone,O=C([O-])CC1(C(=O)[O-])C=CC(=O)O1,4cml_c,13
(R)-(homo)3citrate,O=C(O)CCCC[C@@](O)(CC(=O)O)C(=O)O,Rh3cit_c,16
6-hydroxymethyl dihydropterin,Nc1nc(O)c2c(n1)NCC(CO)=N2,6hmhpt_c,14
(S)-Dihydroorotate,O=C1C[C@@H](C(=O)O)NC(=O)N1,dhor__S_c,11
Co2+,[Co+2],cobalt2_c,1
Pimeloyl-CoA,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(=O)[O-],pmcoa_c,58
Orotate C5H3N2O4,O=C(O)c1cc(=O)[nH]c(=O)[nH]1,orot_c,11
(R)-Glycerate,O=C(O)C(O)CO,glyc__R_c,7
Coenzyme b,C[C@@H](OP(=O)(O)O)[C@H](NC(=O)CCCCCCS)C(=O)O,cob_c,21
"Cob(II)yrinate a,c diamide",CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7[C@H]([C@H](CC(=O)[O-])[C@@]6(C)CCC(=O)[O-])[C@]6(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]6(C)CC(N)=O)[Co-2]753)[C@@H](CCC(=O)[O-])C4(C)C)[C@@H](CCC(=O)[O-])[C@]2(C)CC(N)=O,co2dam_c,64
L-Alanine,CC([NH3+])C(=O)O,ala__L_c,6
"Hydrogenobyrinate a,c diamide",C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4\N[C@@](C)([C@@H]5[NH+]=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]4CCC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-],hgbam_c,63
Dihydroneopterin monophosphate,Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)O)CN2,dhpmp_c,22
"5,6-dihydrouracil",O=C1CCNC(=O)N1,56dura_c,8
Carbon monoxide,[C-]#[O+],co_c,2
